sentence,actor,type,subject,object_,sentiment_roberta_result,sentiment_distilbert_result
WhatsApp Chat,Unknown,Statement,,WhatsApp Chat,neutral,positive
==============,Unknown,Statement,,,neutral,positive
"Olá, como posso ajudá-lo hoje? Vamos começar com algumas perguntas básicas. Qual é o seu nome?",Entrevistador,Question,perguntas básicas,,neutral,negative
Meu nome é Ana Silva.,Pessoa,Statement,nome,Meu nome é Ana Silva,neutral,positive
"Ótimo, Ana Silva! Qual é o seu email?",Entrevistador,Question,email,,neutral,positive
Meu email é ana.silva@email.com.,Pessoa,Statement,email,ana.silva@email.com,neutral,positive
Perfeito! E qual é o número do seu telefone celular?,Entrevistador,Question,número,,neutral,positive
Meu número de telefone celular é (11) 99999-8888.,Pessoa,Statement,telefone celular,(11) 99999-8888,neutral,positive
"Agora, precisamos de algumas informações específicas sobre a manifestação. Qual é o órgão relacionado com a manifestação?",Entrevistador,Question,órgão,,neutral,negative
O órgão relacionado é o Departamento de Trânsito.,Pessoa,Statement,órgão relacionado,Departamento de Trânsito,neutral,negative
Entendido. E qual é o local relacionado à sua manifestação?,Entrevistador,Question,local,,neutral,negative
"O local é a Avenida Paulista, número 1000, São Paulo.",Pessoa,Statement,local,Avenida Paulista,neutral,positive
Certo. Qual é o serviço para o qual deve ser lançada a manifestação?,Entrevistador,Question,serviço,,neutral,negative
O serviço é a manutenção de semáforos.,Pessoa,Statement,serviço,O serviço é a manutenção de semáforos,neutral,positive
Ótimo. Sobre o que você gostaria de falar?,Entrevistador,Question,,,neutral,negative
Eu gostaria de falar sobre a demora na manutenção dos semáforos que está causando muitos congestionamentos.,Pessoa,Statement,,demora manutenção semáforos causando congestionamentos,negative,negative
Entendi. Quem são os envolvidos na sua manifestação?,Entrevistador,Question,envolvidos,,neutral,negative
Os envolvidos são os moradores da região e os motoristas que passam pela Avenida Paulista diariamente.,Pessoa,Statement,envolvidos,Avenida Paulista,neutral,positive
"Por último, pode descrever mais detalhes sobre sua manifestação?",Entrevistador,Question,,,neutral,negative
"Claro, a manifestação é sobre a urgência na manutenção dos semáforos na Avenida Paulista. Já fazem mais de duas semanas que os semáforos estão intermitentes ou desligados em horários de pico, causando grandes congestionamentos e até acidentes. Precisamos de uma ação rápida para resolver essa situação.",Pessoa,Statement,semáforos,semanas,negative,negative
"Muito obrigado pelas informações, Ana Silva! Vamos processar sua manifestação e entrar em contato em breve.",Entrevistador,Statement,,manifestação,positive,positive
